id_pais,pais,id_consula,consulado,censo_1_oc,lat,lon,type
101.0,ALBANIA,127.0,TIRANA,35.0,41.3279457,19.8185323,Capital
102.0,AUSTRIA,101.0,VIENA,4513.0,48.2083537,16.3725042,Capital
103.0,BÉLGICA,104.0,BRUSELAS,49524.0,50.51,4.21,Capital
104.0,BULGARIA,103.0,SOFÍA,225.0,42.6977,23.3219,Capital
106.0,CHIPRE,195.0,NICOSIA,213.0,35.1808916,33.3732586,Capital
107.0,DINAMARCA,107.0,COPENHAGUE,3965.0,55.6867243,12.5700724,Capital
109.0,FINLANDIA,109.0,HELSINKI,1881.0,60.1674086,24.9425683,Capital
110.0,FRANCIA,108.0,BAYONA,11482.0,43.4933379,-1.475099,-
110.0,FRANCIA,110.0,BURDEOS,11985.0,44.841225,-0.5800364,-
110.0,FRANCIA,112.0,ESTRASBURGO,12538.0,48.584614,7.7507127,-
110.0,FRANCIA,114.0,LYON,25089.0,45.6963425,4.73594803,-
110.0,FRANCIA,116.0,MARSELLA,18377.0,43.2961743,5.3699525,-
110.0,FRANCIA,118.0,MONTPELLIER,15113.0,43.6112422,3.8767337,-
110.0,FRANCIA,120.0,PARÍS,85073.0,48.8566,2.3522,Capital
110.0,FRANCIA,122.0,PAU,8175.0,43.2957547,-0.3685668,-
110.0,FRANCIA,124.0,PERPIÑÁN,14940.0,42.6887,2.8948,-
110.0,FRANCIA,126.0,TOULOUSE,15176.0,43.6044622,1.4442469,-
111.0,GRECIA,111.0,ATENAS,1161.0,37.9841493,23.7279843,Capital
112.0,HUNGRÍA,113.0,BUDAPEST,467.0,47.4979,19.0402,Capital
113.0,IRLANDA,115.0,DUBLÍN,7493.0,53.3498,-6.2603,Capital
114.0,ISLANDIA,121.0,OSLO,249.0,59.9133301,10.7389701,Otro
115.0,ITALIA,136.0,GÉNOVA,2932.0,44.4056,8.9463,-
115.0,ITALIA,138.0,MILÁN,7978.0,45.4642,9.19,-
115.0,ITALIA,140.0,NÁPOLES,1967.0,40.8518,14.2681,-
115.0,ITALIA,142.0,ROMA,5912.0,41.894802,12.4853384,Capital
116.0,LIECHTENSTEIN,188.0,ZURICH,304.0,47.3723941,8.5423328,Otro
117.0,LUXEMBURGO,117.0,LUXEMBURGO,4554.0,49.8158683,6.1296751,Capital
118.0,MALTA,119.0,VALETTA,510.0,35.8989818,14.5136759,Capital
119.0,MÓNACO,116.0,MARSELLA,192.0,43.2961743,5.3699525,Otro
120.0,NORUEGA,121.0,OSLO,4389.0,59.9133301,10.7389701,Capital
121.0,PAÍSES BAJOS,144.0,AMSTERDAM,23075.0,52.3667,4.8945,-
121.0,PAÍSES BAJOS,356.0,CARACAS,2.0,10.506098,-66.914602,Otro
122.0,POLONIA,123.0,VARSOVIA,1465.0,52.2319237,21.0067265,Capital
123.0,PORTUGAL,150.0,LISBOA,7628.0,38.7077507,-9.1365919,Capital
123.0,PORTUGAL,152.0,OPORTO,2889.0,41.1494512,-8.6107884,-
124.0,ANDORRA,100.0,ANDORRA,23371.0,42.5407167,1.5732033,Capital
125.0,REINO UNIDO,160.0,LONDRES,93031.0,51.5073219,-0.1276474,Capital
