pais,id_pais
AFGANISTÁN,401
ALBANIA,101
ALEMANIA,126
ANDORRA,124
ANGOLA,202
ANTIGUA Y BARBUDA,310
ARABIA SAUDÍ,402
ARGELIA,203
ARGENTINA,340
ARMENIA,148
AUSTRALIA,501
AUSTRIA,102
AZERBAYÁN,442
BAHAMAS,311
BAHREIN,403
BANGLADESH,404
BARBADOS,312
BÉLGICA,103
BELICE,313
BENIN,204
BIELORUSIA,138
BOLIVIA,341
BOSNIA Y HERZEGOVINA,145
BOTSWANA,205
BRASIL,342
BRUNEI,439
BULGARIA,104
BURKINA FASO,201
BURUNDI,206
CABO VERDE,207
CAMBOYA,417
CANADÁ,301
CHILE,344
CHINA,407
CHIPRE,106
COLOMBIA,343
CONGO,210
COREA,430
COREA DEL NORTE,431
COSTA RICA,314
CROACIA,146
CUBA,315
DINAMARCA,107
ECUADOR,345
EGIPTO,213
EL SALVADOR,317
EMIRATOS ÁRABES UNIDOS,408
ERITREA,253
ESLOVENIA,147
ESTADOS UNIDOS DE AMÉRICA,302
ESTONIA,141
ETIOPÍA,214
FIJI,502
FILIPINAS,409
FINLANDIA,109
FRANCIA,110
GAMBIA,216
GANÓN,215
GEORGIA,139
GHANA,217
GRANADA,318
GRECIA,111
GUATEMALA,319
GUINEA,218
GUINEA ECUATORIAL,220
GUINEA-BISSAU,219
GUYANA,346
HAITÍ,320
HONDURAS,321
HUNGRÍA,112
INDIA,410
INDONESIA,411
IRÁN,413
IRAQ,412
IRLANDA,113
ISLANDIA,114
ISLAS COOK,513
ISLAS SALOMÓN,506
ISRAEL,414
ITALIA,115
JAMAICA,322
JAPÓN,415
JORDANIA,416
KAZAJISTÁN,443
KENIA,221
KIRGUISTÁN,444
KUWAIT,418
LAOS,419
LETONIA,136
LÍBANO,420
LIBERIA,223
LIBIA,224
LIECHTENSTEIN,116
LITUANIA,142
LUXEMBURGO,117
MACEDONIA,156
MADAGASCAR,225
MALASIA,421
MALAWI,226
MALDIVAS,422
MALI,227
MALTA,118
MARRUECOS,228
MAURICIO,229
MAURITANIA,230
MÉXICO,303
MICRONESIA,511
MOLDAVIA,137
MÓNACO,119
MONGOLIA,423
MONTENEGRO,158
MOZAMBIQUE,231
MYANMAR,405
NAMIBIA,232
NEPAL,424
NICARAGUA,323
NÍGER,233
NIGERIA,234
NORUEGA,120
NUEVA ZELANDA,504
OMÁN,425
OTROS PAÍSES DE ASIA,499
PAÍSES BAJOS,121
PAKISTÁN,426
PALAOS,516
"PALESTINA. ESTADO OBSERVADOR, NO MIEMBRO DE NACIONES UNIDAS",449
PANAMÁ,324
PAPÚA NUEVA GUINEA,505
PARAGUAY,347
PERÚ,348
POLONIA,122
PORTUGAL,123
QATAR,427
REINO UNIDO,125
REPÚBLICA CHECA,143
